service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1259701,20110711,20111002,1,1,1,1,1,0,0
1259700,20110711,20111002,1,1,1,1,1,0,0
1259703,20110711,20111002,1,1,1,1,1,0,0
1259702,20110711,20111002,1,1,1,1,1,0,0
1259705,20110711,20111002,1,1,1,1,1,0,0
1259704,20110711,20111002,1,1,1,1,1,0,0
1259707,20110711,20111002,1,1,1,1,1,0,0
1259706,20110711,20111002,1,1,1,1,1,0,0
1259709,20110711,20111002,0,0,0,0,0,1,0
1259708,20110711,20111002,0,0,0,0,0,1,0
1232435,20110404,20110710,0,0,0,0,0,0,1
1260435,20110711,20111002,1,1,1,1,1,0,0
1259781,20110711,20111002,0,0,0,0,0,0,1
1260285,20110711,20111002,1,1,1,1,1,0,0
1232319,20110404,20110710,1,1,1,1,1,0,0
1232318,20110404,20110710,1,1,1,1,1,0,0
1257868,20110711,20111002,1,1,1,1,1,0,0
1257869,20110711,20111002,1,1,1,1,1,0,0
1232315,20110404,20110710,1,1,1,1,1,0,0
1232314,20110404,20110710,1,1,1,1,1,0,0
1232317,20110404,20110710,1,1,1,1,1,0,0
1232316,20110404,20110710,1,1,1,1,1,0,0
1232311,20110404,20110710,1,1,1,1,1,0,0
1232310,20110404,20110710,1,1,1,1,1,0,0
1232313,20110404,20110710,1,1,1,1,1,0,0
1232312,20110404,20110710,1,1,1,1,1,0,0
1228950,20110404,20110710,0,0,0,0,0,0,1
1228951,20110404,20110710,0,0,0,0,0,0,1
1228952,20110404,20110710,0,0,0,0,0,0,1
1228953,20110404,20110710,0,0,0,0,0,0,1
1231668,20110404,20110710,1,1,1,1,1,0,0
1231669,20110404,20110710,1,1,1,1,1,0,0
1228956,20110404,20110710,0,0,0,0,0,0,1
1228957,20110404,20110710,0,0,0,0,0,0,1
1231664,20110404,20110710,1,1,1,1,1,0,0
1231665,20110404,20110710,1,1,1,1,1,0,0
1231666,20110404,20110710,1,1,1,1,1,0,0
1231667,20110404,20110710,1,1,1,1,1,0,0
1231660,20110404,20110710,1,1,1,1,1,0,0
1231661,20110404,20110710,1,1,1,1,1,0,0
1231662,20110404,20110710,1,1,1,1,1,0,0
1231663,20110404,20110710,1,1,1,1,1,0,0
1261777,20110711,20111002,0,0,0,0,0,1,0
1261776,20110711,20111002,0,0,0,0,0,1,0
1261775,20110711,20111002,0,0,0,0,0,1,0
1261774,20110711,20111002,0,0,0,0,0,1,0
1261773,20110711,20111002,0,0,0,0,0,1,0
1261772,20110711,20111002,0,0,0,0,0,1,0
1233808,20110404,20110710,1,1,1,1,1,0,0
1233809,20110404,20110710,1,1,1,1,1,0,0
1233806,20110404,20110710,1,1,1,1,1,0,0
1233807,20110404,20110710,1,1,1,1,1,0,0
1233804,20110404,20110710,1,1,1,1,1,0,0
1233805,20110404,20110710,1,1,1,1,1,0,0
1233802,20110404,20110710,1,1,1,1,1,0,0
1233803,20110404,20110710,1,1,1,1,1,0,0
1233800,20110404,20110710,1,1,1,1,1,0,0
1233801,20110404,20110710,1,1,1,1,1,0,0
1289600,20110711,20111002,0,0,0,0,0,0,1
1229609,20110404,20110710,0,0,0,0,0,0,1
1229608,20110404,20110710,0,0,0,0,0,0,1
1229607,20110404,20110710,0,0,0,0,0,0,1
1229606,20110404,20110710,0,0,0,0,0,0,1
1229605,20110404,20110710,0,0,0,0,0,0,1
1229604,20110404,20110710,0,0,0,0,0,0,1
1229603,20110404,20110710,0,0,0,0,0,0,1
1229602,20110404,20110710,0,0,0,0,0,0,1
1229601,20110404,20110710,0,0,0,0,0,0,1
1229600,20110404,20110710,0,0,0,0,0,0,1
1262970,20110711,20111002,1,1,1,1,1,0,0
1262971,20110711,20111002,1,1,1,1,1,0,0
1262972,20110711,20111002,1,1,1,1,1,0,0
1262973,20110711,20111002,1,1,1,1,1,0,0
1262974,20110711,20111002,1,1,1,1,1,0,0
1262975,20110711,20111002,1,1,1,1,1,0,0
1262976,20110711,20111002,1,1,1,1,1,0,0
1262977,20110711,20111002,1,1,1,1,1,0,0
1262978,20110711,20111002,1,1,1,1,1,0,0
1262979,20110711,20111002,1,1,1,1,1,0,0
